ISO,Year,PGC_Waste
BHR,2000,262.86
BHR,2001,262.86
BHR,2002,262.86
BHR,2003,262.86
BHR,2004,262.86
BHR,2005,262.86
BHR,2006,262.86
BHR,2007,262.86
BHR,2008,262.86
BHR,2009,262.86
BHR,2010,262.86
BHR,2011,262.86
BHR,2012,262.86
BHR,2013,262.86
BHR,2014,262.86
BHR,2015,262.86
BHR,2016,262.86
BHR,2017,98.83277592
BHR,2018,98.83277592
BHR,2019,93.0735786
BHS,2000,1261.922702
BHS,2001,1261.922702
BHS,2002,1261.922702
BHS,2003,1261.922702
BHS,2004,1261.922702
BHS,2005,1261.922702
BHS,2006,1261.922702
BHS,2007,1261.922702
BHS,2008,1261.922702
BHS,2009,1261.922702
BHS,2010,1261.922702
BHS,2011,1261.922702
BHS,2012,1261.922702
BHS,2013,1261.922702
BHS,2014,1261.922702
BHS,2015,1261.922702
BHS,2016,1261.922702
BHS,2017,1204.9762
BHS,2018,1204.9762
BHS,2019,1225.597697
BIH,2000,531.1301208
BIH,2001,531.1301208
BIH,2002,531.1301208
BIH,2003,531.1301208
BIH,2004,531.1301208
BIH,2005,531.1301208
BIH,2006,531.1301208
BIH,2007,531.1301208
BIH,2008,531.1301208
BIH,2009,531.1301208
BIH,2010,531.1301208
BIH,2011,531.1301208
BIH,2012,531.1301208
BIH,2013,531.1301208
BIH,2014,531.1301208
BIH,2015,531.1301208
BIH,2016,531.1301208
BIH,2017,514.5447357
BIH,2018,514.5447357
BIH,2019,523.7105478
BLR,2000,435.3296842
BLR,2001,435.3296842
BLR,2002,435.3296842
BLR,2003,435.3296842
BLR,2004,435.3296842
BLR,2005,435.3296842
BLR,2006,435.3296842
BLR,2007,435.3296842
BLR,2008,435.3296842
BLR,2009,435.3296842
BLR,2010,435.3296842
BLR,2011,435.3296842
BLR,2012,435.3296842
BLR,2013,435.3296842
BLR,2014,435.3296842
BLR,2015,435.3296842
BLR,2016,435.3296842
BLR,2017,478.834924
BLR,2018,478.834924
BLR,2019,465.9310041
BLZ,2000,1224.903499
BLZ,2001,1224.903499
BLZ,2002,1224.903499
BLZ,2003,1224.903499
BLZ,2004,1224.903499
BLZ,2005,1224.903499
BLZ,2006,1224.903499
BLZ,2007,1224.903499
BLZ,2008,1224.903499
BLZ,2009,1224.903499
BLZ,2010,1224.903499
BLZ,2011,1224.903499
BLZ,2012,1224.903499
BLZ,2013,1224.903499
BLZ,2014,1224.903499
BLZ,2015,1224.903499
BLZ,2016,1224.903499
BLZ,2017,1213.673195
BLZ,2018,1213.673195
BLZ,2019,1159.886825
BMU,2000,1298.166667
BMU,2001,1298.166667
BMU,2002,1298.166667
BMU,2003,1298.166667
BMU,2004,1298.166667
BMU,2005,1298.166667
BMU,2006,1298.166667
BMU,2007,1298.166667
BMU,2008,1298.166667
BMU,2009,1298.166667
BMU,2010,1298.166667
BMU,2011,1298.166667
BMU,2012,1298.166667
BMU,2013,1298.166667
BMU,2014,1298.166667
BMU,2015,1298.166667
BMU,2016,1298.166667
BMU,2017,1298
BMU,2018,1298
BMU,2019,1298
BOL,2000,994.0524605
BOL,2001,994.0524605
BOL,2002,994.0524605
BOL,2003,994.0524605
BOL,2004,994.0524605
BOL,2005,994.0524605
BOL,2006,994.0524605
BOL,2007,994.0524605
BOL,2008,994.0524605
BOL,2009,994.0524605
BOL,2010,994.0524605
BOL,2011,994.0524605
BOL,2012,994.0524605
BOL,2013,994.0524605
BOL,2014,994.0524605
BOL,2015,994.0524605
BOL,2016,994.0524605
BOL,2017,975.3315948
BOL,2018,975.3315948
BOL,2019,958.9119217
BRA,2000,1072.91745
BRA,2001,1072.91745
BRA,2002,1072.91745
BRA,2003,1072.91745
BRA,2004,1072.91745
BRA,2005,1072.91745
BRA,2006,1072.91745
BRA,2007,1072.91745
BRA,2008,1072.91745
BRA,2009,1072.91745
BRA,2010,1072.91745
BRA,2011,1072.91745
BRA,2012,1072.91745
BRA,2013,1072.91745
BRA,2014,1072.91745
BRA,2015,1072.91745
BRA,2016,1072.91745
BRA,2017,1052.63227
BRA,2018,1052.63227
BRA,2019,1064.301321
BRB,2000,1198.927419
BRB,2001,1198.927419
BRB,2002,1198.927419
BRB,2003,1198.927419
BRB,2004,1198.927419
BRB,2005,1198.927419
BRB,2006,1198.927419
BRB,2007,1198.927419
BRB,2008,1198.927419
BRB,2009,1198.927419
BRB,2010,1198.927419
BRB,2011,1198.927419
BRB,2012,1198.927419
BRB,2013,1198.927419
BRB,2014,1198.927419
BRB,2015,1198.927419
BRB,2016,1198.927419
BRB,2017,1237.414343
BRB,2018,1237.414343
BRB,2019,1160.649402
BRN,2000,1453.461396
BRN,2001,1453.461396
BRN,2002,1453.461396
BRN,2003,1453.461396
BRN,2004,1453.461396
BRN,2005,1453.461396
BRN,2006,1453.461396
BRN,2007,1453.461396
BRN,2008,1453.461396
BRN,2009,1453.461396
BRN,2010,1453.461396
BRN,2011,1453.461396
BRN,2012,1453.461396
BRN,2013,1453.461396
BRN,2014,1453.461396
BRN,2015,1453.461396
BRN,2016,1453.461396
BRN,2017,1445.296312
BRN,2018,1445.296312
BRN,2019,1463.491449
BTN,2000,623.8608562
BTN,2001,623.8608562
BTN,2002,623.8608562
